year,GEOID,NAME,variable,estimate
2009,5000925975,"Ferdinand town, Essex County, Vermont",Mortgaged SMOC,570
2009,5000925975,"Ferdinand town, Essex County, Vermont",Non-Mortgaged SMOC,NA
2009,5000929125,"Granby town, Essex County, Vermont",Mortgaged SMOC,1088
2009,5000929125,"Granby town, Essex County, Vermont",Non-Mortgaged SMOC,275
2009,5000930775,"Guildhall town, Essex County, Vermont",Mortgaged SMOC,1087
2009,5000930775,"Guildhall town, Essex County, Vermont",Non-Mortgaged SMOC,330
2009,5000939700,"Lemington town, Essex County, Vermont",Mortgaged SMOC,969
2009,5000939700,"Lemington town, Essex County, Vermont",Non-Mortgaged SMOC,438
2009,5000939775,"Lewis town, Essex County, Vermont",Mortgaged SMOC,NA
2009,5000939775,"Lewis town, Essex County, Vermont",Non-Mortgaged SMOC,NA
2009,5000941425,"Lunenburg town, Essex County, Vermont",Mortgaged SMOC,981
2009,5000941425,"Lunenburg town, Essex County, Vermont",Non-Mortgaged SMOC,450
2009,5000942475,"Maidstone town, Essex County, Vermont",Mortgaged SMOC,1000
2009,5000942475,"Maidstone town, Essex County, Vermont",Non-Mortgaged SMOC,375
2009,5000952750,"Norton town, Essex County, Vermont",Mortgaged SMOC,817
2009,5000952750,"Norton town, Essex County, Vermont",Non-Mortgaged SMOC,296
2009,5000975175,"Victory town, Essex County, Vermont",Mortgaged SMOC,867
2009,5000975175,"Victory town, Essex County, Vermont",Non-Mortgaged SMOC,235
2009,5000976337,"Warner's grant, Essex County, Vermont",Mortgaged SMOC,NA
2009,5000976337,"Warner's grant, Essex County, Vermont",Non-Mortgaged SMOC,NA
2009,5000976562,"Warren's gore, Essex County, Vermont",Mortgaged SMOC,NA
2009,5000976562,"Warren's gore, Essex County, Vermont",Non-Mortgaged SMOC,NA
2009,5001102500,"Bakersfield town, Franklin County, Vermont",Mortgaged SMOC,1486
2009,5001102500,"Bakersfield town, Franklin County, Vermont",Non-Mortgaged SMOC,486
2009,5001105425,"Berkshire town, Franklin County, Vermont",Mortgaged SMOC,1268
2009,5001105425,"Berkshire town, Franklin County, Vermont",Non-Mortgaged SMOC,522
2009,5001123875,"Enosburg town, Franklin County, Vermont",Mortgaged SMOC,1267
2009,5001123875,"Enosburg town, Franklin County, Vermont",Non-Mortgaged SMOC,494
2009,5001124925,"Fairfax town, Franklin County, Vermont",Mortgaged SMOC,1542
2009,5001124925,"Fairfax town, Franklin County, Vermont",Non-Mortgaged SMOC,563
2009,5001125225,"Fairfield town, Franklin County, Vermont",Mortgaged SMOC,1375
2009,5001125225,"Fairfield town, Franklin County, Vermont",Non-Mortgaged SMOC,557
2009,5001126500,"Fletcher town, Franklin County, Vermont",Mortgaged SMOC,1613
2009,5001126500,"Fletcher town, Franklin County, Vermont",Non-Mortgaged SMOC,476
2009,5001127100,"Franklin town, Franklin County, Vermont",Mortgaged SMOC,1278
2009,5001127100,"Franklin town, Franklin County, Vermont",Non-Mortgaged SMOC,489
2009,5001127700,"Georgia town, Franklin County, Vermont",Mortgaged SMOC,1583
2009,5001127700,"Georgia town, Franklin County, Vermont",Non-Mortgaged SMOC,622
2009,5001133025,"Highgate town, Franklin County, Vermont",Mortgaged SMOC,1282
2009,5001133025,"Highgate town, Franklin County, Vermont",Non-Mortgaged SMOC,454
2009,5001145850,"Montgomery town, Franklin County, Vermont",Mortgaged SMOC,1198
2009,5001145850,"Montgomery town, Franklin County, Vermont",Non-Mortgaged SMOC,435
2009,5001159125,"Richford town, Franklin County, Vermont",Mortgaged SMOC,1245
2009,5001159125,"Richford town, Franklin County, Vermont",Non-Mortgaged SMOC,444
2009,5001161675,"St. Albans city, Franklin County, Vermont",Mortgaged SMOC,1503
2009,5001161675,"St. Albans city, Franklin County, Vermont",Non-Mortgaged SMOC,511
2009,5001161750,"St. Albans town, Franklin County, Vermont",Mortgaged SMOC,1491
2009,5001161750,"St. Albans town, Franklin County, Vermont",Non-Mortgaged SMOC,541
2009,5001164600,"Sheldon town, Franklin County, Vermont",Mortgaged SMOC,1305
2009,5001164600,"Sheldon town, Franklin County, Vermont",Non-Mortgaged SMOC,543
2009,5001171725,"Swanton town, Franklin County, Vermont",Mortgaged SMOC,1427
2009,5001171725,"Swanton town, Franklin County, Vermont",Non-Mortgaged SMOC,491
2009,5001300700,"Alburg town, Grand Isle County, Vermont",Mortgaged SMOC,1188
2009,5001300700,"Alburg town, Grand Isle County, Vermont",Non-Mortgaged SMOC,467
2009,5001329275,"Grand Isle town, Grand Isle County, Vermont",Mortgaged SMOC,1656
2009,5001329275,"Grand Isle town, Grand Isle County, Vermont",Non-Mortgaged SMOC,587
2009,5001335875,"Isle La Motte town, Grand Isle County, Vermont",Mortgaged SMOC,1401
2009,5001335875,"Isle La Motte town, Grand Isle County, Vermont",Non-Mortgaged SMOC,750
2009,5001350650,"North Hero town, Grand Isle County, Vermont",Mortgaged SMOC,1727
2009,5001350650,"North Hero town, Grand Isle County, Vermont",Non-Mortgaged SMOC,565
2009,5001367000,"South Hero town, Grand Isle County, Vermont",Mortgaged SMOC,1745
2009,5001367000,"South Hero town, Grand Isle County, Vermont",Non-Mortgaged SMOC,732
2009,5001504375,"Belvidere town, Lamoille County, Vermont",Mortgaged SMOC,1473
2009,5001504375,"Belvidere town, Lamoille County, Vermont",Non-Mortgaged SMOC,359
2009,5001511500,"Cambridge town, Lamoille County, Vermont",Mortgaged SMOC,1438
2009,5001511500,"Cambridge town, Lamoille County, Vermont",Non-Mortgaged SMOC,521
2009,5001523500,"Eden town, Lamoille County, Vermont",Mortgaged SMOC,1175
2009,5001523500,"Eden town, Lamoille County, Vermont",Non-Mortgaged SMOC,442
2009,5001523725,"Elmore town, Lamoille County, Vermont",Mortgaged SMOC,1138
2009,5001523725,"Elmore town, Lamoille County, Vermont",Non-Mortgaged SMOC,450
2009,5001535050,"Hyde Park town, Lamoille County, Vermont",Mortgaged SMOC,1237
2009,5001535050,"Hyde Park town, Lamoille County, Vermont",Non-Mortgaged SMOC,520
2009,5001537075,"Johnson town, Lamoille County, Vermont",Mortgaged SMOC,1344
2009,5001537075,"Johnson town, Lamoille County, Vermont",Non-Mortgaged SMOC,464
2009,5001546675,"Morristown town, Lamoille County, Vermont",Mortgaged SMOC,1466
2009,5001546675,"Morristown town, Lamoille County, Vermont",Non-Mortgaged SMOC,587
2009,5001570525,"Stowe town, Lamoille County, Vermont",Mortgaged SMOC,2244
2009,5001570525,"Stowe town, Lamoille County, Vermont",Non-Mortgaged SMOC,1001
2009,5001577425,"Waterville town, Lamoille County, Vermont",Mortgaged SMOC,1292
2009,5001577425,"Waterville town, Lamoille County, Vermont",Non-Mortgaged SMOC,448
